table_name,field_name,field_type,description,mapped_from_table,mapped_from_field,mapping_type,release_date,relationship_category,cardinality
contentProfiles,id,uniqueidentifier,The id of a content profile,,,,opdb,,
contentProfiles,name,nvarchar(255),The name of a content profile,,,,opdb,,
contentProfiles,isPublished,boolean,A boolean indicating if the profile is published,,,,opdb,,
contentProfiles,type,nvarchar(255),The type of profile (ChannelProfile or ContentProfile),,,,opdb,,
contentProfiles,isPredictiveOnly,boolean,A boolean indicating if the profile is for predictive content use only,,,,opdb,,
contentProfiles,teamsiteId,uniqueidentifier,The id of the teamsite the content profile belongs to,,,,opdb,,
contentProfiles,modifiedAt,datetime,The datetime that the profile was last modified,,,,opdb,,
contentProperties,id,uniqueidentifier,The id of the content property,,,,opdb,,
contentProperties,name,nvarchar(255),The name of the content property,,,,opdb,,
contentProperties,type,nvarchar(255),"The type of the content property (multi-value, string, tag, integer, date, boolean, float)",,,,opdb,,
contentProperties,teamsiteId,uniqueidentifier,The id of the teamsite that these properties are for,,,,opdb,,
contentProperties,isRequired,boolean,One of the values assigned to the given user for this user property,,,,opdb,,
contentProperties,hasDomainOfValues,boolean,A boolean indicating if this property has a fixed domain of values,,,,roadmap,,
contentProperties,listOrder,integer,A 1-N number representing the order this property is in for the teamsite,,,,roadmap,,
profileAssignments,libraryContentId,uniqueidentifier,The library content id of the content assigned to a content profile,libraryContents,id,,roadmap,,
profileAssignments,contentProfileId,uniqueidentifier,The content profile id of the profile the content is assigned to,contentProfiles,id,,roadmap,,
contentPropertyAssignments,libraryContentId,uniqueidentifier,The id of the content that this property applies to,libraryContents,id,,staging,primary,Nto1
contentPropertyAssignments,contentPropertyId,uniqueidentifier,The id of the content property,contentProperties,id,,staging,primary,Nto1
contentPropertyAssignments,contentPropertyName,nvarchar(255),The name of the content property,,,,staging,,
contentPropertyAssignments,contentPropertyType,nvarchar(255),"The type of the content property (multi-value, string, tag, integer, date, boolean, float)",,,,staging,,
contentPropertyAssignments,contentPropertyValue,nvarchar(255),One of the values assigned to the given library content for this content property,,,,staging,,
contentPropertyValues,value,nvarchar(255),One of the values for given content property,,,,opdb,,
contentPropertyValues,contentPropertyId,uniqueidentifier,The id of the content property,contentProperties,id,,opdb,primary,Nto1
contentPropertyValues,contentPropertyName,nvarchar(255),The name of the content property,,,,opdb,,
contentPropertyValues,contentPropertyType,nvarchar(255),"The type of the content property (multi-value, string, tag, integer, date, boolean, float)",,,,opdb,,
contentViewHistory,id,uniqueidentifier,The primary id for events in this table,,,,prod,,
contentViewHistory,action,nvarchar(255),"The type of view action taken, currently always set to 'view' but may have additional view actions in the future",,,,prod,,
contentViewHistory,occurredAt,datetime,The datetime when the event occurred,,,,prod,,
contentViewHistory,userId,uniqueidentifier,The id of the user who performed the action,users,id,,prod,primary,Nto1
contentViewHistory,userUsername,nvarchar(255),The username of the user who performed the action,,,,roadmap,,
contentViewHistory,instanceName,nvarchar(255),"The name given to the document before it was delivered.  Typically this is the name of the library content, except in cases of Livedocs with generated names or documents renamed in Workspace or cart before being delivered",,,,staging,,
contentViewHistory,instanceFormat,nvarchar(255),"The format of the viewed content (pptx, docx, pdf, etc.)",,,,staging,,
contentViewHistory,libraryContentId,uniqueidentifier,The id of the library content that was viewed even if the view was on a derived Workspace document,libraryContents,id,,prod,informational,Nto1
contentViewHistory,libraryContentVersionId,uniqueidentifier,The version id of the library content that was viewed even if the view was on a derived Workspace document,libraryContentVersions,id,,prod,informational,Nto1
contentViewHistory,workspaceContentId,uniqueidentifier,The id of the workspace content that was viewed,workspaceContents,id,,prod,informational,Nto1
contentViewHistory,workspaceContentVersionId,uniqueidentifier,The version id of the workspace content that was viewed,workspaceContentVersions,id,,prod,informational,Nto1
contentViewHistory,contentId,uniqueidentifier,The global content id of the content being viewed,contents,id,,staging,primary,Nto1
contentViewHistory,referrerEventId,uniqueidentifier,The referrer event that led to this content view event,referrerEvents,id,,roadmap,primary,Nto1
contentViewHistory,contentProfileId,uniqueidentifier,The id of the content profile this document was viewed from,contentProfiles,id,,prod,informational,Nto1
contentViewHistory,productArea,nvarchar(255),The product area that the user was in when they performed the view,,,,roadmap,,
contentViewHistory,application,nvarchar(255),The application that the user was in when they performed the view,,,,roadmap,,
contentViewHistory,contextId,nvarchar(255),The unique identifier of the external context that the view took place from.  Typically this is the CRM record id such as 0066A000002701I or 80a60f9c-9d65-4e4b-b9e7-c4fc3431ffba depending on your CRM.,,,,roadmap,,
contentViewHistory,contextType,nvarchar(255),"This is the type of context, which is typically the record type in the CRM such as Opportunity, Contact, Account, etc… But can also be the contextType for custom applications with a different concept of context.",,,,roadmap,,
contentViewHistory,contextName,nvarchar(255),"This is the name of the contextual record, which is typically the name of the specific Opportunity, Contact, Account, etc… But can also be the name for a record in a custom application.",,,,roadmap,,
emailRecipients,emailId,uniqueidentifier,The id from the email table that the email recipient received,emails,id,,tbd,primary,Nto1
emailRecipients,externalUserEmail,nvarchar(255),The email address of the external user,,,,tbd,,
emailRecipients,externalUserId,uniqueidentifier,The id of the external user in the externalUsers table,externalUsers,id,,tbd,primary,Nto1
emails,id,uniqueidentifier,The primary id for items in this table,,,,tbd,,
emails,createdBy,uniqueidentifier,The user id of the user who created/sent the email,users,id,,tbd,primary,Nto1
emails,createdAt,datetime,The datetime that the email was sent,,,,tbd,,
emails,subject,nvarchar(255),The subject of the email,,,,tbd,,
emails,body,nvarchar(255),The body of the email,,,,tbd,,
externalUsers,id,uniqueidentifier,The primary id for items in this table,,,,roadmap,,
externalUsers,email,nvarchar(255),The email address of the external user,,,,roadmap,,
externalUsers,emailDomain,nvarchar(255),The email domain of the external user,,,,roadmap,,
externalUsers,trackingOptOut,boolean,A boolean indicating if this email address has opted out of tracking,,,,roadmap,,
externalUsers,emailOptOut,boolean,A boolean indicating if this email address has opted out of receiving emails,,,,roadmap,,
generatedLivedocs,id,uniqueidentifier,The unique identifier for a given generated livedoc,contents,id,,staging,primary,1to1
generatedLivedocs,libraryContentId,uniqueidentifier,The id of the library content that this generated livedoc is based on,libraryContents,id,,staging,informational,Nto1
generatedLivedocs,libraryContentVersionId,uniqueidentifier,The libraryContentVersionId of the livedoc template,libraryContentVersions,id,,staging,informational,Nto1
generatedLivedocs,processingTime,decimal,The time it took the engine to process the document,,,,internal,,
generatedLivedocs,thumbnailImageId,uniqueidentifier,An id to the lower resolution thumbnail image representing the generated livedoc,,,,roadmap,,
generatedLivedocs,previewImageId,uniqueidentifier,An id to the higher resolution preview image representing the generated livedoc,,,,roadmap,,
generatedLivedocs,userId,uniqueidentifier,The id of the user who generated the livedoc,users,id,,staging,,
generatedLivedocs,occurredAt,datetime,The datetime the livedoc was generated,,,,staging,,
generatedLivedocSlides,id,uniqueidentifier,The unique identifier for a given slide in the generated livedoc,,,,staging,,
generatedLivedocSlides,generatedLivedocId,uniqueidentifier,The id of the generated livedoc that this slide was included in,generatedLivedocs,id,,staging,primary,Nto1
generatedLivedocSlides,pageShortId,nvarchar(255),The global unique identifier for this slide,,,,staging,,
generatedLivedocSlides,title,nvarchar(max),The title of this slide,,,,staging,,
generatedLivedocSlides,position,integer,The 1-based position of this slide in the presentation,,,,staging,,
generatedLivedocSlides,thumbnailImageId,uniqueidentifier,the lower resolution thumbnail imageId of this slide which can be used to get a thumbnail image of the slide,,,,roadmap,,
generatedLivedocSlides,parentComponentId,uniqueidentifier,The component that this slide was in as part of this presentation,,,,staging,,
generatedLivedocData,id,uniqueidentifier,The primary id for items in this table,,,,staging,,
generatedLivedocData,generatedLivedocId,uniqueidentifier,The id of the generated livedoc that this data belongs to,generatedLivedocs,id,,staging,primary,Nto1
generatedLivedocData,fieldName,nvarchar(max),The name of the field,,,,staging,,
generatedLivedocData,fieldValue,nvarchar(max),The value of the field,,,,staging,,
generatedLivedocData,fieldType,nvarchar(255),"The type of the field such as integer, string, float, date",,,,staging,,
generatedLivedocComponents,id,uniqueidentifier,The primary id for items in this table,,,,staging,,
generatedLivedocComponents,createdAt,datetime,The datetime the livedoc was generated,,,,staging,,
generatedLivedocComponents,generatedLivedocId,uniqueidentifier,The id of the generated livedoc that this component was included in,generatedLivedocs,id,,staging,primary,Nto1
generatedLivedocComponents,libraryContentId,uniqueidentifier,The libraryContentId of the component,,,,staging,,
generatedLivedocComponents,libraryContentVersionId,uniqueidentifier,The libraryContentVersionId of the component,,,,staging,,
generatedLivedocComponents,libraryContentShortId,uniqueidentifier,The short version of libraryContentId of the component (must have content id enabled in tenant),,,,staging,,
generatedLivedocComponents,thumbnailImageId,uniqueidentifier,the lower resolution thumbnail imageId of the library content which can be used to get a thumbnail image of the library content,,,,roadmap,,
generatedLivedocComponents,parentComponentId,uniqueidentifier,The id of the component that this component is a child of in this generated livedoc,,,,roadmap,,
generatedLivedocComponents,libraryContentName,nvarchar(max),The name of this component in the library,,,,staging,,
